announcement_id,asx_code,pdf_url,reason,timestamp
03076439,SSM,https://announcements.asx.com.au/asxpdf/20260326/pdf/06xvk0bswhyp93.pdf,missing current position fields: ['new_percent'],2026-03-26T12:46:00Z
03076399,TWE,https://announcements.asx.com.au/asxpdf/20260326/pdf/06xvfqbst2rb21.pdf,missing current position fields: ['new_percent'],2026-03-26T12:47:23Z
03076394,GTN,https://announcements.asx.com.au/asxpdf/20260326/pdf/06xvf7ttt8xpjl.pdf,"missing current position fields: ['new_percent', 'date_of_change']",2026-03-26T12:47:37Z
03076393,MCP,https://announcements.asx.com.au/asxpdf/20260326/pdf/06xvf5mzrb7qjm.pdf,"missing current position fields: ['new_percent', 'date_of_change']",2026-03-26T12:47:44Z
03076384,MYR,https://announcements.asx.com.au/asxpdf/20260326/pdf/06xvdh4y83nqtx.pdf,missing current position fields: ['new_percent'],2026-03-26T12:47:59Z
03076371,NWL,https://announcements.asx.com.au/asxpdf/20260326/pdf/06xvcgrq6pt43l.pdf,missing current position fields: ['new_percent'],2026-03-26T12:48:09Z
03076344,TWE,https://announcements.asx.com.au/asxpdf/20260326/pdf/06xv9d5qfl979q.pdf,missing current position fields: ['new_percent'],2026-03-26T12:48:25Z
03076343,CXO,https://announcements.asx.com.au/asxpdf/20260326/pdf/06xv99vyp2xnnh.pdf,missing current position fields: ['new_percent'],2026-03-26T12:48:33Z
03076227,SVM,https://announcements.asx.com.au/asxpdf/20260326/pdf/06xtz6rhpx3gwr.pdf,"missing current position fields: ['investment_manager', 'new_percent', 'date_of_change']",2026-03-26T12:48:51Z
03076085,INA,https://announcements.asx.com.au/asxpdf/20260326/pdf/06xtn2qj2h5bcr.pdf,missing current position fields: ['new_percent'],2026-03-26T12:49:14Z
03076071,SFR,https://announcements.asx.com.au/asxpdf/20260326/pdf/06xtm2snfdglsv.pdf,missing current position fields: ['new_percent'],2026-03-26T12:49:32Z
03076055,LLC,https://announcements.asx.com.au/asxpdf/20260326/pdf/06xtkwznz1pwnf.pdf,"missing current position fields: ['investment_manager', 'new_percent']",2026-03-26T12:49:47Z
03075980,PDI,https://announcements.asx.com.au/asxpdf/20260326/pdf/06xtdtc71m12r0.pdf,missing current position fields: ['new_percent'],2026-03-26T12:51:57Z
03075979,PDI,https://announcements.asx.com.au/asxpdf/20260326/pdf/06xtdr71mg9q23.pdf,missing current position fields: ['new_percent'],2026-03-26T12:52:04Z
03076491,DRO,https://announcements.asx.com.au/asxpdf/20260327/pdf/06xvv6m0n4jtj0.pdf,missing current position fields: ['date_of_change'],2026-03-26T21:22:09Z
03076487,NAN,https://announcements.asx.com.au/asxpdf/20260327/pdf/06xvty7c4587m7.pdf,missing current position fields: ['date_of_change'],2026-03-26T21:22:25Z
03076470,FPH,https://announcements.asx.com.au/asxpdf/20260327/pdf/06xvsglqyzy12c.pdf,"missing current position fields: ['investment_manager', 'date_of_change']",2026-03-26T21:23:40Z
03076539,LLC,https://announcements.asx.com.au/asxpdf/20260327/pdf/06xvyj098prp0c.pdf,"missing current position fields: ['investment_manager', 'new_percent', 'date_of_change']",2026-03-26T22:17:46Z
03076512,WAF,https://announcements.asx.com.au/asxpdf/20260327/pdf/06xvwn98j39v44.pdf,"missing current position fields: ['investment_manager', 'new_percent', 'date_of_change']",2026-03-26T22:17:58Z
03076511,SFR,https://announcements.asx.com.au/asxpdf/20260327/pdf/06xvwl5nck1p3g.pdf,"missing current position fields: ['investment_manager', 'new_percent', 'date_of_change']",2026-03-26T22:18:07Z
03076504,AAI,https://announcements.asx.com.au/asxpdf/20260327/pdf/06xvw3brrj7rsq.pdf,"missing current position fields: ['investment_manager', 'new_percent', 'date_of_change']",2026-03-26T22:18:13Z
03076503,WAF,https://announcements.asx.com.au/asxpdf/20260327/pdf/06xvw16lf910d0.pdf,"missing current position fields: ['investment_manager', 'new_percent', 'date_of_change']",2026-03-26T22:18:25Z
03076641,KAI,https://announcements.asx.com.au/asxpdf/20260327/pdf/06xw5w6s4p1rsg.pdf,"missing current position fields: ['investment_manager', 'new_percent', 'date_of_change']",2026-03-27T10:20:54+11:00
03076862,WBT,https://announcements.asx.com.au/asxpdf/20260327/pdf/06xwrnyj0jsjb1.pdf,missing fields: ['investment_manager'],2026-03-27T17:06:37+11:00
03076860,SRL,https://announcements.asx.com.au/asxpdf/20260327/pdf/06xwrjp4zzd0gy.pdf,missing fields: ['investment_manager'],2026-03-27T17:06:41+11:00
03076859,DMP,https://announcements.asx.com.au/asxpdf/20260327/pdf/06xwrgh9c0q4vs.pdf,"missing fields: ['investment_manager', 'date_of_change']",2026-03-27T17:06:45+11:00
03076858,IEL,https://announcements.asx.com.au/asxpdf/20260327/pdf/06xwrd9frp2jmc.pdf,missing fields: ['investment_manager'],2026-03-27T17:06:49+11:00
03076857,MYX,https://announcements.asx.com.au/asxpdf/20260327/pdf/06xwrb44dcjbmj.pdf,missing fields: ['investment_manager'],2026-03-27T17:06:53+11:00
03076851,KPG,https://announcements.asx.com.au/asxpdf/20260327/pdf/06xwqwx6skv4v8.pdf,missing fields: ['date_of_change'],2026-03-27T17:07:00+11:00
03076784,CCP,https://announcements.asx.com.au/asxpdf/20260327/pdf/06xwkvwm44w2by.pdf,missing fields: ['investment_manager'],2026-03-27T17:07:07+11:00
03079558,SND,https://announcements.asx.com.au/asxpdf/20260407/pdf/06y627kj61nknw.pdf,missing fields: ['new_percent'],2026-04-07T15:27:28+11:00
03079553,NSR,https://announcements.asx.com.au/asxpdf/20260407/pdf/06y61x1h4ccmcb.pdf,missing fields: ['date_of_change'],2026-04-07T15:27:48+11:00
