announcement_id,asx_code,company_name,form_type,action_type,lodgement_date,lodgement_time,date_of_change,investment_manager,manager_acn,previous_shares,previous_percent,new_shares,new_percent,consideration,parse_method,confidence,pdf_url
03076927,TPG,,604,change,2026-03-27,,2026-03-25,WASHINGTON H. SOUL PATTINSON AND COMPANY LIMITED (Soul Patts) AND SUBSIDIARIES,,185596795,,159471165,8.12%,,rule-based,high,https://announcements.asx.com.au/asxpdf/20260327/pdf/06xwxn3qrx76s8.pdf
03076920,MQG,,605,cease,2026-03-27,,2026-03-24,; and its controlled bodies corporate listed in Annexure A ('Macquarie Group Entities') ABN/,122 169 279,,,1700000,,,ai,low,https://announcements.asx.com.au/asxpdf/20260327/pdf/06xwx2qdtvgvm5.pdf
03076917,MQG,,605,cease,2026-03-27,,2026-03-26,; and its controlled bodies corporate listed in Annexure A ('Macquarie Group Entities') ABN/,122 169 279,,,491204,,,ai,low,https://announcements.asx.com.au/asxpdf/20260327/pdf/06xwww21qsjqwv.pdf
03076909,SDR,,603,initial,2026-03-27,,2026-03-25,First Sentier Group Limited ACN 630 725 558 and its related bodies corporate or associates listed in annexure A,630 725 558,,,14161893,5.01%,,rule-based,high,https://announcements.asx.com.au/asxpdf/20260327/pdf/06xww67w2w2q11.pdf
03076892,ASM,,603,initial,2026-03-27,,2026-03-25,: UBS Group AG and its related bodies corporate,,,,13653810,5.02%,Please see Appendix B,ai,low,https://announcements.asx.com.au/asxpdf/20260327/pdf/06xwtw79807xh1.pdf
03076888,NAN,,604,decrease,2026-03-27,,2026-03-25,UBS Group AG and its related bodies corporate,,24339955,8.02%,18580259,6.12%,,ai,low,https://announcements.asx.com.au/asxpdf/20260327/pdf/06xwtlhzxqlqlh.pdf
03076882,DVP,,603,initial,2026-03-27,,2026-03-23,Chester Asset Management Pty Ltd,617 645 557,,,16670000,5.05%,,ai-vision,low,https://announcements.asx.com.au/asxpdf/20260327/pdf/06xwt4frxy6k9p.pdf
03076862,WBT,,603,initial,2026-03-27,,2026-03-25,Citigroup Global Markets Australia Pty Limited,003 114 832,,,11608763,5.5029%,Various,ai,low,https://announcements.asx.com.au/asxpdf/20260327/pdf/06xwrnyj0jsjb1.pdf
03076860,SRL,,605,cease,2026-03-27,,2026-03-25,Citigroup Global Markets Australia Pty Limited,003 114 832,,,2015347,,,ai,low,https://announcements.asx.com.au/asxpdf/20260327/pdf/06xwrjp4zzd0gy.pdf
03076859,DMP,,604,decrease,2026-03-27,,2026-03-25,Citigroup Global Markets Australia Pty Limited,003 114 832,8182674,8.6496%,7147290,7.5551%,,ai,low,https://announcements.asx.com.au/asxpdf/20260327/pdf/06xwrgh9c0q4vs.pdf
